No.,Map Ref. Point (Long.),Map Ref. Point (Lat.),Period,Hel,ER I,ER II,MR,LR,Byz,Islm
1,2029,2773,Hel,1,0,0,0,0,0,0
2,2000,2707,,0,0,0,0,0,0,0
3,2000,2707,,0,0,0,0,0,0,0
4,1872,2703,,0,0,0,0,0,0,0
5,1919,2701,ER I ER II,0,1,1,0,0,0,0
6,1914,2652,MR-LR,0,0,0,1,1,0,0
7,1914,2647,MR-LR,0,0,0,1,1,0,0
8,1914,2647,LR,0,0,0,0,1,0,0
9,1904,2597,,0,0,0,0,0,0,0
10,1970,2590,,0,0,0,0,0,0,0
11,2032,2574,MR?-LR,0,0,0,1,1,0,0
12,1834,2568,,0,0,0,0,0,0,0
13,2198,2565,ER I,0,1,0,0,0,0,0
14,2198,2565,ER I,0,1,0,0,0,0,0
15,2198,2565,Hel?-ER I,1,1,0,0,0,0,0
16,2198,2565,Hel?-ER I,1,1,0,0,0,0,0
17,1958,2564,,0,0,0,0,0,0,0
18,2005,2545,Byz?,0,0,0,0,0,1,0
19,1763,2486,ER I,0,1,0,0,0,0,0
20,1763,2486,ER I,0,1,0,0,0,0,0
21,1968,2477,,0,0,0,0,0,0,0
22,1968,2477,,0,0,0,0,0,0,0
23,1968,2477,,0,0,0,0,0,0,0
24,1683,2475,Byz,0,0,0,0,0,1,0
25,1683,2475,ER I ER II,0,1,1,0,0,0,0
26,1786,2475,ER-MR?ER I ER II,0,1,1,1,0,0,0
27,1786,2475,ER I ER II,0,1,1,0,0,0,0
28,1786,2475,,0,0,0,0,0,0,0
29,1958,2472,Hel?-ER?,1,0,0,0,0,0,0
30,1913,2468,,0,0,0,0,0,0,0
31,1956,2467,Byz,0,0,0,0,0,1,0
32,1956,2467,Byz,0,0,0,0,0,1,0
33,1472,2444,,0,0,0,0,0,0,0
34,1472,2444,,0,0,0,0,0,0,0
35,1951,2425,,0,0,0,0,0,0,0
36,1951,2425,,0,0,0,0,0,0,0
37,2012,2425,Byz-Islm,0,0,0,0,0,1,1
38,1659,2414,ER I ER II -MR?,0,1,1,1,0,0,0
39,1764,2398,Hel?-LR ER I ER II MR,1,1,1,1,1,0,0
40,1764,2398,Hel?-LR ER I ER II MR,1,1,1,1,1,0,0
41,1764,2398,Hel?-LR ER I ER II MR,1,1,1,1,1,0,0
42,1764,2398,Hel?-LR ER I ER II MR,1,1,1,1,1,0,0
43,1764,2398,Hel?-LR ER I ER II MR,1,1,1,1,1,0,0
44,1764,2398,,0,0,0,0,0,0,0
45,1764,2398,,0,0,0,0,0,0,0
46,1764,2398,,0,0,0,0,0,0,0
47,1764,2398,,0,0,0,0,0,0,0
48,1764,2398,,0,0,0,0,0,0,0
49,1764,2398,,0,0,0,0,0,0,0
50,1764,2398,,0,0,0,0,0,0,0
51,1764,2398,Hel,1,0,0,0,0,0,0
52,1764,2398,Hel,1,0,0,0,0,0,0
53,1764,2398,Hel-ER I,1,1,0,0,0,0,0
54,1764,2398,ER I,0,1,0,0,0,0,0
55,1764,2398,LR-?,0,0,0,0,1,0,0
56,1764,2398,ER-LR MR,0,0,0,1,1,0,0
57,1764,2398,LR-?,0,0,0,0,1,0,0
58,1764,2398,ER-?,0,0,0,0,0,0,0
59,1764,2398,ER-LR MR,0,0,0,1,1,0,0
60,1764,2398,ER-LR MR,0,0,0,1,1,0,0
61,1764,2398,ER-LR MR,0,0,0,1,1,0,0
62,1764,2398,ER-LR MR,0,0,0,1,1,0,0
63,1764,2398,ER-LR MR,0,0,0,1,1,0,0
64,1764,2398,ER I ER II,0,1,1,0,0,0,0
65,1764,2398,ER I ER II -LR MR,0,1,1,1,1,0,0
66,1764,2398,ER I ER II -LR MR,0,1,1,1,1,0,0
67,1764,2398,ER I ER II -LR MR,0,1,1,1,1,0,0
68,1764,2398,,0,0,0,0,0,0,0
69,1764,2398,,0,0,0,0,0,0,0
70,1764,2398,,0,0,0,0,0,0,0
71,1764,2398,,0,0,0,0,0,0,0
72,1764,2398,,0,0,0,0,0,0,0
73,1764,2398,,0,0,0,0,0,0,0
74,1764,2398,,0,0,0,0,0,0,0
75,1764,2398,,0,0,0,0,0,0,0
76,1764,2398,,0,0,0,0,0,0,0
77,1764,2398,,0,0,0,0,0,0,0
78,1764,2398,,0,0,0,0,0,0,0
79,1764,2398,,0,0,0,0,0,0,0
80,1813,2392,ER ER I ER II-MR,0,1,1,1,0,0,0
81,1813,2392,ER I ER II,0,1,1,0,0,0,0
82,1813,2392,Er I ER II MR,0,1,1,1,0,0,0
83,1713,2370,,0,0,0,0,0,0,0
84,1640,2364,,0,0,0,0,0,0,0
85,1564,2360,,0,0,0,0,0,0,0
86,1805,2359,,0,0,0,0,0,0,0
87,1985,2355,LR-Byz,0,0,0,0,1,1,0
88,1627,2347,MR-LR,0,0,0,1,1,0,0
89,1627,2347,MR-LR,0,0,0,1,1,0,0
90,1627,2347,MR-LR,0,0,0,1,1,0,0
91,1627,2347,MR-LR,0,0,0,1,1,0,0
92,1627,2347,MR-LR,0,0,0,1,1,0,0
93,1627,2347,MR-LR,0,0,0,1,1,0,0
94,1627,2347,MR-LR,0,0,0,1,1,0,0
95,1781,2343,MR-LR,0,0,0,1,1,0,0
96,1762,2328,,0,0,0,0,0,0,0
97,1540,2307,MR-LR,0,0,0,1,1,0,0
98,1540,2307,,0,0,0,0,0,0,0
99,1539,2245,ER I,0,1,0,0,0,0,0
100,1539,2245,ER I,0,1,0,0,0,0,0
101,1539,2245,ER I,0,1,0,0,0,0,0
102,1539,2245,ER I,0,1,0,0,0,0,0
103,1547,2244,ER I,0,1,0,0,0,0,0
104,1679,2196,,0,0,0,0,0,0,0
105,1679,2196,,0,0,0,0,0,0,0
106,1679,2196,,0,0,0,0,0,0,0
107,1679,2196,,0,0,0,0,0,0,0
108,1679,2196,,0,0,0,0,0,0,0
109,1679,2196,,0,0,0,0,0,0,0
110,1705,2183,,0,0,0,0,0,0,0
111,1400,2120,,0,0,0,0,0,0,0
112,1400,2120,ER I,0,1,0,0,0,0,0
113,1610,1873,Byz,0,0,0,0,0,1,0
114,1680,1870,,0,0,0,0,0,0,0
115,1680,1870,,0,0,0,0,0,0,0
116,1680,1870,,0,0,0,0,0,0,0
117,1680,1870,,0,0,0,0,0,0,0
118,1680,1870,,0,0,0,0,0,0,0
119,1680,1870,,0,0,0,0,0,0,0
120,1680,1870,,0,0,0,0,0,0,0
121,1680,1870,,0,0,0,0,0,0,0
122,1680,1870,,0,0,0,0,0,0,0
123,2045,1861,Hel?-ER I ER II,1,1,1,0,0,0,0
124,1670,1854,,0,0,0,0,0,0,0
125,1670,1854,,0,0,0,0,0,0,0
126,1670,1846,,0,0,0,0,0,0,0
127,1670,1846,,0,0,0,0,0,0,0
128,1670,1846,,0,0,0,0,0,0,0
129,1670,1846,,0,0,0,0,0,0,0
130,1670,1846,,0,0,0,0,0,0,0
131,1509,1831,Byz,0,0,0,0,0,1,0
132,1509,1831,Byz,0,0,0,0,0,1,0
133,1509,1831,Byz,0,0,0,0,0,1,0
134,1509,1831,Byz,0,0,0,0,0,1,0
135,1487,1809,,0,0,0,0,0,0,0
136,1487,1809,,0,0,0,0,0,0,0
137,1487,1809,,0,0,0,0,0,0,0
138,1613,1805,,0,0,0,0,0,0,0
139,1650,1801,,0,0,0,0,0,0,0
140,1650,1801,Rom-Byz,0,0,0,0,0,1,0
141,1650,1801,Byz-Islm,0,0,0,0,0,1,1
142,1650,1801,LR-Byz,0,0,0,0,1,1,0
143,1650,1801,Byz-Islm,0,0,0,0,0,1,1
144,1650,1801,Byz-Islm,0,0,0,0,0,1,1
145,1561,1793,,0,0,0,0,0,0,0
146,1793,1753,,0,0,0,0,0,0,0
147,1793,1753,,0,0,0,0,0,0,0
148,1586,1731,,0,0,0,0,0,0,0
149,1321,1707,LR,0,0,0,0,1,0,0
150,1793,1652,ER I ER II,0,1,1,0,0,0,0
151,1466,1634,ER I ER II,0,1,1,0,0,0,0
152,1730,1633,ER I ER II,0,1,1,0,0,0,0
153,1730,1633,ER I ER II,0,1,1,0,0,0,0
154,1461,1626,ER I ER II,0,1,1,0,0,0,0
155,1775,1625,ER I ER II,0,1,1,0,0,0,0
156,1730,1618,ER I ER II,0,1,1,0,0,0,0
